publisher,grade,unit,word,part_of_speech,translation,sentence_example
南一,七下,lesson 5,Hard work pays off.,,努力就會有收穫。,
南一,七下,lesson 5,always,adv. ,總是；永遠,Ivy is always smiling.
南一,七下,lesson 5,usually,adv. ,通常,What do you usually do on weekends?
南一,七下,lesson 5,sometimes,adv. ,有時候,I sometimes go on a picnic with my family in the park.
南一,七下,lesson 5,seldom,adv. ,很少,David seldom watches TV after work.
南一,七下,lesson 5,never,adv. ,從不；未曾,Ben is never late for class.
南一,七下,lesson 5,once,adv. ,一次；曾經,He plays basketball once a week.
南一,七下,lesson 5,on time,phr. ,準時,Andy always goes to school on time.
南一,七下,lesson 5,life,n. ,生活；人生,Ella doesn’t know much about her grandma’s early life.
南一,七下,lesson 5,early,adj. ,早的,It usually rains in early spring in Taiwan.
南一,七下,lesson 5,swim,v. ,游泳,Let's go swimming. It's good for our health.
南一,七下,lesson 5,jump rope,phr. ,跳繩,The students are jumping rope now.
南一,七下,lesson 5,get hurt,phr. ,受傷,Don’t get hurt.
南一,七下,lesson 5,during,prep. ,在……期間,Please don't talk during the movie.
南一,七下,lesson 5,sick,adj. ,生病的,"The doctor says, “You’re sick. Take a day off from work.”"
南一,七下,lesson 5,stop,v. ,停止,Stop the car! There is a child behind the car.
南一,七下,lesson 5,sport,n. ,運動,What sports do you play?
南一,七下,lesson 5,care,v. ,在乎；關心,You care too much about your looks.
南一,七下,lesson 5,notice,v. ,注意到,We seldom notice a mother’s hard work at home.
南一,七下,lesson 5,athlete,n. ,運動員,Who is your favorite baseball athlete?
南一,七下,lesson 5,trophy,n. ,獎盃,The winner can get a trophy and a lot of money.
南一,七下,lesson 5,effort,n. ,努力,Jane always puts effort into her work.
南一,七下,lesson 5,You rock!,Idiom,很棒；很厲害！,
南一,七下,lesson 6,sky,n. ,天空,There are a lot of birds in the sky.
南一,七下,lesson 6,clear,adj. ,晴朗的,You can see the mountains from here on a clear day.
南一,七下,lesson 6,lost,adj. ,迷路的,My little brother often gets lost.
南一,七下,lesson 6,sure,adj. ,確定的,Ken: Is that Cindy's bag? Joy: I'm not sure.
南一,七下,lesson 6,woman,n. ,女人,Who’s that tall woman over there?
南一,七下,lesson 6,map,n. ,地圖,I can’t read the map. Can you help me?
