unit,word,type,meaning
第六課,so,adv,如此地 Uncle Peter's farm is so big.
第六課,any,adj.; pron,任何（的） There aren't any chairs in the classroom.
第六課,tiger,n,老虎 Lions and tigers are big cats.
第六課,zebra,n,斑馬 There are no zebras near here.
第六課,back,n,背；後面 Is that a bird on the dog's back?
第六課,help,n.; v,幫助；幫忙 The watch is a great help to me.
第六課,monkey,n,猴子 There are three monkeys in the tree.
第六課,fox,n,狐狸 Are there two foxes over there?
第六課,horse,n,馬 This horse is very old.
第六課,rat,n,老鼠 There is a big rat in the kitchen.
第六課,bear,n,熊 Are there any bears in Africa?
第六課,world,n,世界 The lion is the king of the animal world.
第六課,example,n,實例 The Lins are a great example of a happy family.
第六課,bug,n,蟲子 Look! There is a bug in the pencil box.
第六課,food,n,食物 I'm hungry. Let's eat some food.
第六課,clean,up,清理；打掃 Tom is cleaning up his room.
第六課,healthy,adj,健康的 Mary's daughter is a healthy girl.
第六課,thanks to,v,"幸虧󠄂；由於 Thanks to Mom, we can have a great dinner."
第六課,clean,adj,乾淨的 Their house is very clean.
